镜号,场次,景别,角度,运镜,画面描述,动作,时长,音效,音乐,字幕,AI视频提示词,负面提示词,首帧提示词,尾帧提示词,角色参考图提示词,场景参考图提示词,备注
1,场1 外 森林 夜,远景,平视,横移,夜色很浓，微弱月光下，灰色松鼠聪聪在森林大树间奔跑跳跃，速度很快,聪聪奔跑跳跃,5s,夜风、虫鸣,轻快森林主题,无,2D手绘动画电影质感，温暖童话，夜色森林，微弱月光，灰色松鼠聪聪快速奔跑跳跃，动态模糊，儿童友好,通用负面,夜色森林远景，月光微弱,聪聪跳向另一棵树,聪聪=灰黑色松鼠，雄性，大眼明亮，圆短耳，深灰皮毛，浅灰偏褐色腹部，可爱倔强,手绘森林夜景，月光,片头
2,场1 外 森林 夜,字幕,平视,淡入,出片名：聪聪的生活,片名淡入,3s,风声,轻快森林主题,聪聪的生活,黑底白字手绘片名“聪聪的生活”淡入，简洁温暖，2D手绘动画风格,通用负面,黑底,片名完整显示,无,无,出片名
3,场2 外 森林 日,全景,平视,固定,天上乌云密布，下起大雨，聪聪无处可躲，只能躲在大树下,聪聪蜷缩躲雨,4s,雨声、雷声远,紧张过渡,无,2D手绘动画，乌云大雨，森林，灰色松鼠聪聪蜷缩在大树下躲雨，儿童友好,通用负面,乌云密布森林,聪聪躲在大树下,聪聪=灰色松鼠，大眼，大板牙,手绘森林雨天,下雨
4,场2 外 森林 日,近景,仰视,推近,雨停，聪聪爬上树，露出两颗大板牙，啃呀啃，碎屑掉到地上,聪聪啃树,5s,啃木头声、木屑掉落,轻快森林主题,无,2D手绘动画，雨停，灰色松鼠聪聪爬上树，露出大板牙啃木头，木屑掉落，温暖童话,通用负面,雨停后的树,聪聪啃出小洞,聪聪=灰色松鼠，大板牙,手绘树干近景,啃树
5,场2 外 森林 日,中景,平视,缓慢拉远,树洞逐渐出现，聪聪清理，把木屑搬进洞铺到地上,啃洞、清理、铺地毯,6s,木屑声、搬运声,轻快森林主题,无,2D手绘动画，树洞出现，聪聪用大板牙啃出树洞，清理木屑，搬运碎屑铺地毯,通用负面,树洞初现,树洞内铺好木屑,聪聪=灰色松鼠,手绘树洞内部,建家
6,场3 内 树洞 暮,中景,平视,固定,聪聪在碎屑地毯上舒服趴着，周围渐渐黑下来,聪聪趴下休息,4s,安静、虫鸣,温暖安静,无,2D手绘动画，树洞内部，暮色渐暗，聪聪趴木屑地毯上，安静温暖,通用负面,树洞暮色,画面渐暗,聪聪=灰色松鼠,手绘树洞内部,暮色
7,场4 外 森林 日,全景,平视,跟拍,第二天太阳出来，聪聪离开树洞，在森林里跳跃穿梭找吃的,聪聪跳跃穿梭,5s,鸟鸣、树叶声,轻快森林主题,无,2D手绘动画，晴天森林，聪聪离开树洞，跳跃穿梭找食物，阳光斑驳,通用负面,阳光森林,聪聪在树枝间,聪聪=灰色松鼠,手绘森林白天,找食
8,场4 外 森林 日,中景,平视,横移,聪聪找到桑葚、越桔、悬钩子，搬回洞里,采集搬运,5s,采摘声,轻快森林主题,无,2D手绘动画，聪聪采集桑葚、越桔、悬钩子，抱回树洞，温暖童话,通用负面,果实特写,聪聪抱果实回洞,聪聪=灰色松鼠,手绘森林果实,采果
9,场5 内 树洞 日,特写,俯视,推近,聪聪用牙齿雕刻木头，制作橡子、榛子、松子、云杉子,雕刻木坚果,5s,雕刻声、木屑声,温暖轻快,无,2D手绘动画，树洞内，聪聪用大板牙雕刻木坚果，木屑飞溅，专注可爱,通用负面,木块特写,木坚果成型,聪聪=灰色松鼠，大板牙,手绘树洞内部,雕刻
10,场5 内 树洞 日,全景,平视,缓慢横移,树洞里摆着聪聪雕刻的橡子、榛子、松子、云杉子等木制作品,陈列展示,4s,安静、木质感,温暖轻快,无,2D手绘动画，树洞陈列木雕橡子榛子松子云杉子，整齐温馨,通用负面,树洞陈列,木雕全景,聪聪=灰色松鼠,手绘树洞内部,陈列
